pollster,numeric_grade,state,candidate_name,pct,sample_size,pollscore,transparency_score,population,end_date,national_poll,recency
Siena,2.7,New York,Chase Oliver,1,872,-0.8,7,lv,2024-10-17,0,19
Siena,2.7,New York,Cornel West,1,872,-0.8,7,lv,2024-10-17,0,19
Siena,2.7,New York,Kamala Harris,58,872,-0.8,7,lv,2024-10-17,0,19
Siena,2.7,New York,Donald Trump,39,872,-0.8,7,lv,2024-10-17,0,19
AtlasIntel,2.7,National,Kamala Harris,47.6,4180,-0.8,6,lv,2024-10-17,1,19
AtlasIntel,2.7,National,Donald Trump,50.7,4180,-0.8,6,lv,2024-10-17,1,19
AtlasIntel,2.7,National,Jill Stein,0.8,4180,-0.8,6,lv,2024-10-17,1,19
AtlasIntel,2.7,National,Chase Oliver,0.1,4180,-0.8,6,lv,2024-10-17,1,19
AtlasIntel,2.7,National,Cornel West,0.1,4180,-0.8,6,lv,2024-10-17,1,19
AtlasIntel,2.7,National,Kamala Harris,48.1,4180,-0.8,6,lv,2024-10-17,1,19
AtlasIntel,2.7,National,Donald Trump,50.8,4180,-0.8,6,lv,2024-10-17,1,19
AtlasIntel,2.7,Arizona,Kamala Harris,48.6,1440,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Arizona,Donald Trump,49.2,1440,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Arizona,Jill Stein,0.7,1440,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Arizona,Chase Oliver,0.1,1440,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Arizona,Kamala Harris,49.3,1440,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Arizona,Donald Trump,49.2,1440,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Kamala Harris,48.1,1411,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Donald Trump,49.5,1411,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Chase Oliver,1.3,1411,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Cornel West,0.2,1411,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Jill Stein,0.2,1411,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Kamala Harris,48.4,1411,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Donald Trump,50.1,1411,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Kamala Harris,46.8,1529,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Donald Trump,49.6,1529,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Jill Stein,1.1,1529,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Robert F. Kennedy,0.7,1529,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Chase Oliver,0.2,1529,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Cornel West,0.1,1529,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Kamala Harris,47.3,1529,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Donald Trump,50.2,1529,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Kamala Harris,48.1,1171,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Donald Trump,48.4,1171,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Jill Stein,1.7,1171,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Chase Oliver,0,1171,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Kamala Harris,48.4,1171,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Donald Trump,48.3,1171,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Kamala Harris,49.5,1674,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Donald Trump,48.8,1674,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Jill Stein,1.1,1674,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Chase Oliver,0.1,1674,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Cornel West,0.1,1674,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Kamala Harris,50.5,1674,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Donald Trump,48.8,1674,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Kamala Harris,46.5,2048,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Donald Trump,49.8,2048,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Jill Stein,1.9,2048,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Chase Oliver,0.5,2048,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Kamala Harris,47.4,2048,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Donald Trump,49.9,2048,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Kamala Harris,48.9,932,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Donald Trump,48.2,932,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Chase Oliver,0.8,932,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Robert F. Kennedy,0.7,932,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Jill Stein,0.2,932,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Kamala Harris,49,932,-0.8,6,lv,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Donald Trump,48.4,932,-0.8,6,lv,2024-10-17,0,19
Emerson,2.9,National,Kamala Harris,49.5,1000,-1.1,7,lv,2024-10-16,1,20
Emerson,2.9,National,Donald Trump,49.2,1000,-1.1,7,lv,2024-10-16,1,20
RMG Research,2.3,National,Kamala Harris,50,2950,-0.4,5,lv,2024-10-16,1,20
RMG Research,2.3,National,Donald Trump,49,2950,-0.4,5,lv,2024-10-16,1,20
YouGov,3,Arizona,Kamala Harris,48,1435,-1.1,9,lv,2024-10-16,0,20
YouGov,3,Arizona,Donald Trump,51,1435,-1.1,9,lv,2024-10-16,0,20
RMG Research,2.3,Wisconsin,Kamala Harris,49,787,-0.4,5,lv,2024-10-16,0,20
RMG Research,2.3,Wisconsin,Donald Trump,50,787,-0.4,5,lv,2024-10-16,0,20
RMG Research,2.3,Michigan,Kamala Harris,49,789,-0.4,5,lv,2024-10-16,0,20
RMG Research,2.3,Michigan,Donald Trump,49,789,-0.4,5,lv,2024-10-16,0,20
U. Georgia SPIA,2.2,Georgia,Kamala Harris,43.4,1000,-0.2,7,lv,2024-10-16,0,20
U. Georgia SPIA,2.2,Georgia,Donald Trump,47,1000,-0.2,7,lv,2024-10-16,0,20
U. Georgia SPIA,2.2,Georgia,Chase Oliver,0.4,1000,-0.2,7,lv,2024-10-16,0,20
U. Georgia SPIA,2.2,Georgia,Jill Stein,0.4,1000,-0.2,7,lv,2024-10-16,0,20
InsiderAdvantage,2,Georgia,Kamala Harris,47,800,-0.3,5,rv,2024-10-15,0,21
InsiderAdvantage,2,Georgia,Donald Trump,49,800,-0.3,5,rv,2024-10-15,0,21
YouGov,3,National,Kamala Harris,48,1457,-1.1,9,rv,2024-10-15,1,21
YouGov,3,National,Donald Trump,45,1457,-1.1,9,rv,2024-10-15,1,21
YouGov,3,National,Jill Stein,1,1457,-1.1,9,rv,2024-10-15,1,21
YouGov,3,National,Cornel West,1,1457,-1.1,9,rv,2024-10-15,1,21
YouGov,3,National,Kamala Harris,49,1314,-1.1,9,lv,2024-10-15,1,21
YouGov,3,National,Donald Trump,45,1314,-1.1,9,lv,2024-10-15,1,21
YouGov,3,National,Jill Stein,1,1314,-1.1,9,lv,2024-10-15,1,21
YouGov,3,National,Cornel West,0,1314,-1.1,9,lv,2024-10-15,1,21
Washington Post/George Mason University,2.7,Arizona,Kamala Harris,44,580,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Arizona,Donald Trump,50,580,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Arizona,Kamala Harris,46,580,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Arizona,Donald Trump,49,580,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Georgia,Kamala Harris,50,730,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Georgia,Donald Trump,44,730,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Georgia,Kamala Harris,51,730,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Georgia,Donald Trump,47,730,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Michigan,Kamala Harris,46,687,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Michigan,Donald Trump,47,687,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Michigan,Kamala Harris,49,687,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Michigan,Donald Trump,47,687,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Nevada,Kamala Harris,47,652,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Nevada,Donald Trump,44,652,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Nevada,Kamala Harris,48,652,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Nevada,Donald Trump,48,652,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,North Carolina,Kamala Harris,45,965,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,North Carolina,Donald Trump,49,965,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,North Carolina,Kamala Harris,47,965,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,North Carolina,Donald Trump,50,965,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Pennsylvania,Kamala Harris,49,707,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Pennsylvania,Donald Trump,46,707,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Pennsylvania,Kamala Harris,49,707,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Pennsylvania,Donald Trump,47,707,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Wisconsin,Kamala Harris,50,695,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Wisconsin,Donald Trump,46,695,-0.8,9,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Wisconsin,Kamala Harris,50,695,-0.8,9,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Wisconsin,Donald Trump,47,695,-0.8,9,lv,2024-10-15,0,21
Mitchell,2.4,Michigan,Kamala Harris,47,589,-0.2,7,lv,2024-10-14,0,22
Mitchell,2.4,Michigan,Donald Trump,47,589,-0.2,7,lv,2024-10-14,0,22
Mitchell,2.4,Michigan,Jill Stein,1,589,-0.2,7,lv,2024-10-14,0,22
Mitchell,2.4,Michigan,Chase Oliver,1,589,-0.2,7,lv,2024-10-14,0,22
Mitchell,2.4,Michigan,Robert F. Kennedy,0,589,-0.2,7,lv,2024-10-14,0,22
Mitchell,2.4,Michigan,Cornel West,0,589,-0.2,7,lv,2024-10-14,0,22
Mitchell,2.4,Michigan,Kamala Harris,47.4,589,-0.2,7,lv,2024-10-14,0,22
Mitchell,2.4,Michigan,Donald Trump,48.5,589,-0.2,7,lv,2024-10-14,0,22
Emerson,2.9,California,Kamala Harris,61,1000,-1.1,7,lv,2024-10-14,0,22
Emerson,2.9,California,Donald Trump,36.6,1000,-1.1,7,lv,2024-10-14,0,22
Cygnal,2.1,North Carolina,Kamala Harris,46.6,600,-1.1,4,lv,2024-10-14,0,22
Cygnal,2.1,North Carolina,Donald Trump,47.2,600,-1.1,4,lv,2024-10-14,0,22
Cygnal,2.1,North Carolina,Chase Oliver,0.9,600,-1.1,4,lv,2024-10-14,0,22
Cygnal,2.1,North Carolina,Randall A. Terry,0.1,600,-1.1,4,lv,2024-10-14,0,22
Cygnal,2.1,North Carolina,Jill Stein,0.4,600,-1.1,4,lv,2024-10-14,0,22
Cygnal,2.1,North Carolina,Cornel West,0.6,600,-1.1,4,lv,2024-10-14,0,22
Beacon/Shaw,2.8,National,Kamala Harris,48,1110,-1.1,9,rv,2024-10-14,1,22
Beacon/Shaw,2.8,National,Donald Trump,50,1110,-1.1,9,rv,2024-10-14,1,22
Beacon/Shaw,2.8,National,Kamala Harris,48,870,-1.1,9,lv,2024-10-14,1,22
Beacon/Shaw,2.8,National,Donald Trump,50,870,-1.1,9,lv,2024-10-14,1,22
Quinnipiac,2.8,Georgia,Kamala Harris,45,1328,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,Georgia,Donald Trump,52,1328,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,Georgia,Jill Stein,1,1328,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,Georgia,Chase Oliver,1,1328,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,Georgia,Kamala Harris,46,1328,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,Georgia,Donald Trump,52,1328,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Kamala Harris,49,1031,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Donald Trump,47,1031,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Jill Stein,0,1031,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Chase Oliver,1,1031,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Cornel West,0,1031,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Randall A. Terry,0,1031,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Kamala Harris,50,1031,-0.5,9,lv,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Donald Trump,47,1031,-0.5,9,lv,2024-10-14,0,22
SurveyUSA,2.8,Washington,Kamala Harris,57,703,-1.3,8,lv,2024-10-14,0,22
SurveyUSA,2.8,Washington,Donald Trump,35,703,-1.3,8,lv,2024-10-14,0,22
East Carolina University,2.6,Georgia,Kamala Harris,45.8,701,-0.5,7,lv,2024-10-14,0,22
East Carolina University,2.6,Georgia,Donald Trump,48.9,701,-0.5,7,lv,2024-10-14,0,22
East Carolina University,2.6,Georgia,Chase Oliver,0.4,701,-0.5,7,lv,2024-10-14,0,22
East Carolina University,2.6,Georgia,Jill Stein,1.4,701,-0.5,7,lv,2024-10-14,0,22
Fairleigh Dickinson,2.6,National,Kamala Harris,50,806,-0.6,9.5,rv,2024-10-14,1,22
Fairleigh Dickinson,2.6,National,Donald Trump,47,806,-0.6,9.5,rv,2024-10-14,1,22
Ipsos,2.8,National,Kamala Harris,45,807,-0.9,9.5,rv,2024-10-13,1,23
Ipsos,2.8,National,Donald Trump,42,807,-0.9,9.5,rv,2024-10-13,1,23
Ipsos,2.8,National,Kamala Harris,47,769,-0.9,9.5,lv,2024-10-13,1,23
Ipsos,2.8,National,Donald Trump,44,769,-0.9,9.5,lv,2024-10-13,1,23
Ipsos,2.8,National,Kamala Harris,41,938,-0.9,9.5,a,2024-10-13,1,23
Ipsos,2.8,National,Donald Trump,37,938,-0.9,9.5,a,2024-10-13,1,23
YouGov,3,National,Kamala Harris,51,2712,-1.1,9,lv,2024-10-11,1,25
YouGov,3,National,Donald Trump,48,2712,-1.1,9,lv,2024-10-11,1,25
Marist,2.9,National,Kamala Harris,52,1401,-0.9,9,lv,2024-10-10,1,26
Marist,2.9,National,Donald Trump,47,1401,-0.9,9,lv,2024-10-10,1,26
Marist,2.9,National,Kamala Harris,51,1708,-0.9,9,rv,2024-10-10,1,26
Marist,2.9,National,Donald Trump,48,1708,-0.9,9,rv,2024-10-10,1,26
RMG Research,2.3,National,Kamala Harris,50,2945,-0.4,5,lv,2024-10-10,1,26
RMG Research,2.3,National,Donald Trump,47,2945,-0.4,5,lv,2024-10-10,1,26
Siena/NYT,3,Pennsylvania,Kamala Harris,50,857,-1.5,9,rv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Donald Trump,47,857,-1.5,9,rv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Kamala Harris,49,857,-1.5,9,rv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Donald Trump,45,857,-1.5,9,rv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Jill Stein,2,857,-1.5,9,rv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Chase Oliver,1,857,-1.5,9,rv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Kamala Harris,50,857,-1.5,9,lv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Donald Trump,47,857,-1.5,9,lv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Kamala Harris,49,857,-1.5,9,lv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Donald Trump,45,857,-1.5,9,lv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Jill Stein,1,857,-1.5,9,lv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Chase Oliver,0,857,-1.5,9,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Kamala Harris,46,808,-1.5,9,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Donald Trump,51,808,-1.5,9,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Kamala Harris,45,808,-1.5,9,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Donald Trump,50,808,-1.5,9,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Jill Stein,1,808,-1.5,9,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Chase Oliver,0,808,-1.5,9,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Kamala Harris,45,808,-1.5,9,rv,2024-10-10,0,26
Siena/NYT,3,Arizona,Donald Trump,51,808,-1.5,9,rv,2024-10-10,0,26
Siena/NYT,3,Arizona,Kamala Harris,44,808,-1.5,9,rv,2024-10-10,0,26
Siena/NYT,3,Arizona,Donald Trump,49,808,-1.5,9,rv,2024-10-10,0,26
Siena/NYT,3,Arizona,Jill Stein,2,808,-1.5,9,rv,2024-10-10,0,26
Siena/NYT,3,Arizona,Chase Oliver,1,808,-1.5,9,rv,2024-10-10,0,26
RMG Research,2.3,Georgia,Kamala Harris,47,731,-0.4,5,lv,2024-10-10,0,26
RMG Research,2.3,Georgia,Donald Trump,50,731,-0.4,5,lv,2024-10-10,0,26
UMass Amherst/YouGov,2.4,Massachusetts,Kamala Harris,56,700,-0.4,7.5,a,2024-10-10,0,26
UMass Amherst/YouGov,2.4,Massachusetts,Donald Trump,30,700,-0.4,7.5,a,2024-10-10,0,26
UMass Amherst/YouGov,2.4,Massachusetts,Jill Stein,2,700,-0.4,7.5,a,2024-10-10,0,26
UMass Amherst/YouGov,2.4,Massachusetts,Chase Oliver,1,700,-0.4,7.5,a,2024-10-10,0,26
UMass Amherst/YouGov,2.4,Massachusetts,Claudia De La Cruz,1,700,-0.4,7.5,a,2024-10-10,0,26
UMass Amherst/YouGov,2.4,Massachusetts,Shiva Ayyadurai,1,700,-0.4,7.5,a,2024-10-10,0,26
University of Massachusetts Lowell/YouGov,2.9,New Hampshire,Kamala Harris,50,600,-1,9,lv,2024-10-10,0,26
University of Massachusetts Lowell/YouGov,2.9,New Hampshire,Donald Trump,41,600,-1,9,lv,2024-10-10,0,26
University of Massachusetts Lowell/YouGov,2.9,New Hampshire,Jill Stein,1,600,-1,9,lv,2024-10-10,0,26
University of Massachusetts Lowell/YouGov,2.9,New Hampshire,Chase Oliver,1,600,-1,9,lv,2024-10-10,0,26
YouGov,3,Texas,Kamala Harris,46,1091,-1.1,9,lv,2024-10-10,0,26
YouGov,3,Texas,Donald Trump,51,1091,-1.1,9,lv,2024-10-10,0,26
YouGov,3,Texas,Jill Stein,2,1091,-1.1,9,lv,2024-10-10,0,26
YouGov,3,Texas,Chase Oliver,1,1091,-1.1,9,lv,2024-10-10,0,26
Marquette Law School,3,National,Kamala Harris,50,780,-1.1,10,rv,2024-10-10,1,26
Marquette Law School,3,National,Donald Trump,50,780,-1.1,10,rv,2024-10-10,1,26
Marquette Law School,3,National,Kamala Harris,43,780,-1.1,10,rv,2024-10-10,1,26
Marquette Law School,3,National,Donald Trump,39,780,-1.1,10,rv,2024-10-10,1,26
Marquette Law School,3,National,Robert F. Kennedy,10,780,-1.1,10,rv,2024-10-10,1,26
Marquette Law School,3,National,Chase Oliver,3,780,-1.1,10,rv,2024-10-10,1,26
Marquette Law School,3,National,Jill Stein,1,780,-1.1,10,rv,2024-10-10,1,26
Marquette Law School,3,National,Cornel West,3,780,-1.1,10,rv,2024-10-10,1,26
Marquette Law School,3,National,Kamala Harris,50,652,-1.1,10,lv,2024-10-10,1,26
Marquette Law School,3,National,Donald Trump,50,652,-1.1,10,lv,2024-10-10,1,26
Marquette Law School,3,National,Kamala Harris,44,652,-1.1,10,lv,2024-10-10,1,26
Marquette Law School,3,National,Donald Trump,41,652,-1.1,10,lv,2024-10-10,1,26
Marquette Law School,3,National,Robert F. Kennedy,9,652,-1.1,10,lv,2024-10-10,1,26
Marquette Law School,3,National,Chase Oliver,2,652,-1.1,10,lv,2024-10-10,1,26
Marquette Law School,3,National,Jill Stein,1,652,-1.1,10,lv,2024-10-10,1,26
Marquette Law School,3,National,Cornel West,2,652,-1.1,10,lv,2024-10-10,1,26
U. Houston,2.2,Texas,Kamala Harris,46,1329,-0.3,4,lv,2024-10-10,0,26
U. Houston,2.2,Texas,Donald Trump,51,1329,-0.3,4,lv,2024-10-10,0,26
U. Houston,2.2,Texas,Jill Stein,1,1329,-0.3,4,lv,2024-10-10,0,26
U. Houston,2.2,Texas,Chase Oliver,0,1329,-0.3,4,lv,2024-10-10,0,26
InsiderAdvantage,2,Michigan,Kamala Harris,46,800,-0.3,5,lv,2024-10-09,0,27
InsiderAdvantage,2,Michigan,Donald Trump,48,800,-0.3,5,lv,2024-10-09,0,27
InsiderAdvantage,2,Wisconsin,Kamala Harris,48,800,-0.3,5,lv,2024-10-09,0,27
InsiderAdvantage,2,Wisconsin,Donald Trump,48,800,-0.3,5,lv,2024-10-09,0,27
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,Kamala Harris,46,800,-1,9,lv,2024-10-09,0,27
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,Donald Trump,45,800,-1,9,lv,2024-10-09,0,27
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,Jill Stein,1,800,-1,9,lv,2024-10-09,0,27
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,Chase Oliver,0,800,-1,9,lv,2024-10-09,0,27
InsiderAdvantage,2,Pennsylvania,Kamala Harris,47,800,-0.3,5,lv,2024-10-08,0,28
InsiderAdvantage,2,Pennsylvania,Donald Trump,49,800,-0.3,5,lv,2024-10-08,0,28
Emerson,2.9,Arizona,Kamala Harris,48.2,1000,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,Arizona,Donald Trump,50.5,1000,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,Georgia,Kamala Harris,49.8,1000,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,Georgia,Donald Trump,49.7,1000,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,Michigan,Kamala Harris,49.7,950,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,Michigan,Donald Trump,49.6,950,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,Nevada,Kamala Harris,49.2,900,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,Nevada,Donald Trump,48.1,900,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,North Carolina,Kamala Harris,49,1000,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,North Carolina,Donald Trump,49.9,1000,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,Pennsylvania,Kamala Harris,49,1000,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,Pennsylvania,Donald Trump,49.7,1000,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,Wisconsin,Kamala Harris,49.2,1000,-1.1,7,lv,2024-10-08,0,28
Emerson,2.9,Wisconsin,Donald Trump,49.9,1000,-1.1,7,lv,2024-10-08,0,28
Siena/NYT,3,Montana,Kamala Harris,39,656,-1.5,9,rv,2024-10-08,0,28
Siena/NYT,3,Montana,Donald Trump,57,656,-1.5,9,rv,2024-10-08,0,28
