pollster,numeric_grade,state,candidate_name,pct,sample_size,pollscore,population,end_date,national_poll,recency
Siena/NYT,3,Florida,Kamala Harris,41,622,-1.5,lv,2024-10-06,0,30
Siena/NYT,3,Florida,Kamala Harris,40,622,-1.5,lv,2024-10-06,0,30
Siena/NYT,3,Florida,Kamala Harris,41,622,-1.5,rv,2024-10-06,0,30
Siena/NYT,3,Florida,Kamala Harris,40,622,-1.5,rv,2024-10-06,0,30
Suffolk,2.9,Massachusetts,Kamala Harris,61.2,500,-1,lv,2024-10-05,0,31
YouGov,3,National,Kamala Harris,46,1150,-1.1,rv,2024-10-04,1,32
YouGov,3,National,Kamala Harris,47,1032,-1.1,lv,2024-10-04,1,32
YouGov,3,National,Kamala Harris,48,1151,-1.1,rv,2024-10-04,1,32
YouGov,3,National,Kamala Harris,48,1033,-1.1,lv,2024-10-04,1,32
Noble Predictive Insights,2.4,National,Kamala Harris,49,2290,-0.4,lv,2024-10-04,1,32
Noble Predictive Insights,2.4,National,Kamala Harris,49,2290,-0.4,lv,2024-10-04,1,32
Noble Predictive Insights,2.4,National,Kamala Harris,47,2560,-0.4,rv,2024-10-04,1,32
Noble Predictive Insights,2.4,National,Kamala Harris,47,2560,-0.4,rv,2024-10-04,1,32
Mason-Dixon,2.6,Florida,Kamala Harris,43,625,-1.1,lv,2024-10-04,0,32
Siena/NYT,3,Texas,Kamala Harris,44,617,-1.5,lv,2024-10-04,0,32
Siena/NYT,3,Texas,Kamala Harris,42,617,-1.5,lv,2024-10-04,0,32
Siena/NYT,3,Texas,Kamala Harris,44,617,-1.5,rv,2024-10-04,0,32
Siena/NYT,3,Texas,Kamala Harris,41,617,-1.5,rv,2024-10-04,0,32
Christopher Newport U.,2.8,Virginia,Kamala Harris,52,800,-0.6,lv,2024-10-04,0,32
Data for Progress,2.6,National,Kamala Harris,49,1211,-1.2,lv,2024-10-03,1,33
Cygnal,2.1,National,Kamala Harris,47.2,1500,-1.1,lv,2024-10-03,1,33
Cygnal,2.1,National,Kamala Harris,50.3,1500,-1.1,lv,2024-10-03,1,33
RMG Research,2.3,National,Kamala Harris,49,2965,-0.4,lv,2024-10-03,1,33
RMG Research,2.3,Nevada,Kamala Harris,49,782,-0.4,lv,2024-10-03,0,33
St. Anselm,2.4,New Hampshire,Kamala Harris,51,2104,-0.5,lv,2024-10-02,0,34
RMG Research,2.3,Arizona,Kamala Harris,46,783,-0.4,lv,2024-10-02,0,34
YouGov/Center for Working Class Politics,3,Pennsylvania,Kamala Harris,46.8,1000,-1.1,rv,2024-10-02,0,34
YouGov,3,National,Kamala Harris,48,1463,-1.1,rv,2024-10-01,1,35
YouGov,3,National,Kamala Harris,49,1261,-1.1,lv,2024-10-01,1,35
Emerson,2.9,National,Kamala Harris,50.2,1000,-1.1,lv,2024-10-01,1,35
Marist,2.9,National,Kamala Harris,50,1294,-0.9,lv,2024-10-01,1,35
Marist,2.9,National,Kamala Harris,50,1514,-0.9,rv,2024-10-01,1,35
UC Berkeley,2.5,California,Kamala Harris,57,3045,-0.2,lv,2024-10-01,0,35
Susquehanna,2.3,National,Kamala Harris,49,1001,-0.3,lv,2024-10-01,1,35
Mitchell,2.4,Michigan,Kamala Harris,48,709,-0.2,lv,2024-09-30,0,36
Mitchell,2.4,Michigan,Kamala Harris,47,709,-0.2,lv,2024-09-30,0,36
InsiderAdvantage,2,Arizona,Kamala Harris,47.7,800,-0.3,lv,2024-09-30,0,36
InsiderAdvantage,2,Nevada,Kamala Harris,48.4,800,-0.3,lv,2024-09-30,0,36
InsiderAdvantage,2,North Carolina,Kamala Harris,49.3,800,-0.3,lv,2024-09-30,0,36
InsiderAdvantage,2,Georgia,Kamala Harris,48.3,800,-0.3,lv,2024-09-30,0,36
Leger,2,National,Kamala Harris,51,837,0,lv,2024-09-29,1,37
Leger,2,National,Kamala Harris,50,888,0,rv,2024-09-29,1,37
The Washington Post,3,North Carolina,Kamala Harris,48,1001,-1.2,lv,2024-09-29,0,37
The Washington Post,3,North Carolina,Kamala Harris,47,1001,-1.2,rv,2024-09-29,0,37
Quinnipiac,2.8,North Carolina,Kamala Harris,47,953,-0.5,lv,2024-09-29,0,37
Quinnipiac,2.8,North Carolina,Kamala Harris,48,953,-0.5,lv,2024-09-29,0,37
Quinnipiac,2.8,Georgia,Kamala Harris,44,942,-0.5,lv,2024-09-29,0,37
Quinnipiac,2.8,Georgia,Kamala Harris,45,942,-0.5,lv,2024-09-29,0,37
National Research,2,Arizona,Kamala Harris,47,600,-0.5,lv,2024-09-29,0,37
Winthrop U.,2.5,South Carolina,Kamala Harris,42,1068,-0.3,lv,2024-09-29,0,37
High Point University,2.5,North Carolina,Kamala Harris,48,814,-0.4,rv,2024-09-29,0,37
High Point University,2.5,North Carolina,Kamala Harris,48,589,-0.4,lv,2024-09-29,0,37
Emerson,2.9,Arizona,Kamala Harris,47.6,920,-1.1,lv,2024-09-28,0,38
Emerson,2.9,North Carolina,Kamala Harris,49.1,850,-1.1,lv,2024-09-28,0,38
Emerson,2.9,Pennsylvania,Kamala Harris,49.3,1000,-1.1,lv,2024-09-28,0,38
Cygnal,2.1,Iowa,Kamala Harris,44.6,600,-1.1,lv,2024-09-28,0,38
RMG Research,2.3,Texas,Kamala Harris,46,779,-0.4,lv,2024-09-27,0,39
RMG Research,2.3,Florida,Kamala Harris,48,774,-0.4,lv,2024-09-27,0,39
RMG Research,2.3,North Carolina,Kamala Harris,47,780,-0.4,lv,2024-09-27,0,39
RMG Research,2.3,Michigan,Kamala Harris,50,789,-0.4,lv,2024-09-27,0,39
McCourtney Institute/YouGov,3,National,Kamala Harris,48,848,-1.1,lv,2024-09-27,1,39
Siena/NYT,3,Nebraska CD-2,Kamala Harris,51,680,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Nebraska CD-2,Kamala Harris,49,680,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Nebraska CD-2,Kamala Harris,52,680,-1.5,lv,2024-09-26,0,40
Siena/NYT,3,Nebraska CD-2,Kamala Harris,51,680,-1.5,lv,2024-09-26,0,40
SurveyUSA,2.8,Minnesota,Kamala Harris,50,646,-1.3,lv,2024-09-26,0,40
East Carolina University,2.6,North Carolina,Kamala Harris,47.1,1005,-0.5,lv,2024-09-26,0,40
Siena/NYT,3,Michigan,Kamala Harris,45,688,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Michigan,Kamala Harris,43,688,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Michigan,Kamala Harris,48,688,-1.5,lv,2024-09-26,0,40
Siena/NYT,3,Michigan,Kamala Harris,46,688,-1.5,lv,2024-09-26,0,40
Siena/NYT,3,Ohio,Kamala Harris,45,687,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Ohio,Kamala Harris,44,687,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Ohio,Kamala Harris,44,687,-1.5,lv,2024-09-26,0,40
Siena/NYT,3,Ohio,Kamala Harris,43,687,-1.5,lv,2024-09-26,0,40
Siena/NYT,3,Wisconsin,Kamala Harris,49,680,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Wisconsin,Kamala Harris,48,680,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Wisconsin,Kamala Harris,49,680,-1.5,lv,2024-09-26,0,40
Siena/NYT,3,Wisconsin,Kamala Harris,48,680,-1.5,lv,2024-09-26,0,40
Marquette Law School,3,Wisconsin,Kamala Harris,52,882,-1.1,rv,2024-09-26,0,40
Marquette Law School,3,Wisconsin,Kamala Harris,52,798,-1.1,lv,2024-09-26,0,40
Marquette Law School,3,Wisconsin,Kamala Harris,48,882,-1.1,rv,2024-09-26,0,40
Marquette Law School,3,Wisconsin,Kamala Harris,49,798,-1.1,lv,2024-09-26,0,40
Echelon Insights,2.7,National,Kamala Harris,52,1005,-0.8,lv,2024-09-25,1,41
Echelon Insights,2.7,National,Kamala Harris,49,1005,-0.8,lv,2024-09-25,1,41
Emerson,2.9,New York,Kamala Harris,55.5,1000,-1.1,lv,2024-09-25,0,41
RMG Research,2.3,National,Kamala Harris,50,2952,-0.4,lv,2024-09-25,1,41
CNN/SSRS,2.8,North Carolina,Kamala Harris,48,931,-0.6,lv,2024-09-25,0,41
CNN/SSRS,2.8,Nebraska CD-2,Kamala Harris,53,749,-0.6,lv,2024-09-25,0,41
AtlasIntel,2.7,Arizona,Kamala Harris,48.6,946,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,Arizona,Kamala Harris,48.6,946,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,Michigan,Kamala Harris,46.6,918,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,Michigan,Kamala Harris,47.2,918,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,Nevada,Kamala Harris,50.6,858,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,Nevada,Kamala Harris,50.5,858,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,Pennsylvania,Kamala Harris,48,1775,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,Pennsylvania,Kamala Harris,48.1,1775,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,Wisconsin,Kamala Harris,48.2,1077,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,Wisconsin,Kamala Harris,48.2,1077,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,North Carolina,Kamala Harris,50.8,1173,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,North Carolina,Kamala Harris,50.5,1173,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,Georgia,Kamala Harris,49,1200,-0.8,lv,2024-09-25,0,41
AtlasIntel,2.7,Georgia,Kamala Harris,49,1200,-0.8,lv,2024-09-25,0,41
Virginia Commonwealth U.,2.1,Virginia,Kamala Harris,43,832,-0.1,a,2024-09-25,0,41
Virginia Commonwealth U.,2.1,Virginia,Kamala Harris,47.4,762,-0.1,rv,2024-09-25,0,41
Emerson,2.9,Texas,Kamala Harris,46.7,950,-1.1,lv,2024-09-24,0,42
Emerson,2.9,Virginia,Kamala Harris,52.7,860,-1.1,lv,2024-09-24,0,42
YouGov,3,National,Kamala Harris,47,1424,-1.1,rv,2024-09-24,1,42
YouGov,3,National,Kamala Harris,49,1220,-1.1,lv,2024-09-24,1,42
YouGov,3,Georgia,Kamala Harris,49,1441,-1.1,lv,2024-09-24,0,42
Beacon/Shaw,2.8,Arizona,Kamala Harris,47,1021,-1.1,rv,2024-09-24,0,42
Beacon/Shaw,2.8,Arizona,Kamala Harris,47,764,-1.1,lv,2024-09-24,0,42
Beacon/Shaw,2.8,Arizona,Kamala Harris,48,1021,-1.1,rv,2024-09-24,0,42
Beacon/Shaw,2.8,Arizona,Kamala Harris,48,764,-1.1,lv,2024-09-24,0,42
Beacon/Shaw,2.8,Georgia,Kamala Harris,49,1006,-1.1,rv,2024-09-24,0,42
Beacon/Shaw,2.8,Georgia,Kamala Harris,50,707,-1.1,lv,2024-09-24,0,42
Beacon/Shaw,2.8,Georgia,Kamala Harris,51,1006,-1.1,rv,2024-09-24,0,42
Beacon/Shaw,2.8,Georgia,Kamala Harris,51,707,-1.1,lv,2024-09-24,0,42
Beacon/Shaw,2.8,North Carolina,Kamala Harris,47,787,-1.1,lv,2024-09-24,0,42
Beacon/Shaw,2.8,North Carolina,Kamala Harris,48,991,-1.1,rv,2024-09-24,0,42
Beacon/Shaw,2.8,North Carolina,Kamala Harris,49,787,-1.1,lv,2024-09-24,0,42
Beacon/Shaw,2.8,North Carolina,Kamala Harris,50,991,-1.1,rv,2024-09-24,0,42
Beacon/Shaw,2.8,Pennsylvania,Kamala Harris,47,775,-1.1,lv,2024-09-24,0,42
Beacon/Shaw,2.8,Pennsylvania,Kamala Harris,48,1021,-1.1,rv,2024-09-24,0,42
Beacon/Shaw,2.8,Pennsylvania,Kamala Harris,49,775,-1.1,lv,2024-09-24,0,42
Beacon/Shaw,2.8,Pennsylvania,Kamala Harris,50,1021,-1.1,rv,2024-09-24,0,42
Marist,2.9,Arizona,Kamala Harris,48,1416,-0.9,rv,2024-09-24,0,42
Marist,2.9,Arizona,Kamala Harris,49,1264,-0.9,lv,2024-09-24,0,42
Marist,2.9,North Carolina,Kamala Harris,49,1507,-0.9,rv,2024-09-24,0,42
Marist,2.9,North Carolina,Kamala Harris,49,1348,-0.9,lv,2024-09-24,0,42
Marist,2.9,Georgia,Kamala Harris,49,1420,-0.9,rv,2024-09-24,0,42
Marist,2.9,Georgia,Kamala Harris,49,1220,-0.9,lv,2024-09-24,0,42
Suffolk,2.9,Arizona,Kamala Harris,42.4,500,-1,lv,2024-09-24,0,42
SurveyUSA,2.8,Nebraska,Kamala Harris,40,558,-1.3,lv,2024-09-23,0,43
University of Maryland/Washington Post,2.5,Maryland,Kamala Harris,63,1012,-0.3,lv,2024-09-23,0,43
University of Maryland/Washington Post,2.5,Maryland,Kamala Harris,64,1012,-0.3,lv,2024-09-23,0,43
University of Maryland/Washington Post,2.5,Maryland,Kamala Harris,61,1012,-0.3,rv,2024-09-23,0,43
University of Maryland/Washington Post,2.5,Maryland,Kamala Harris,62,1012,-0.3,rv,2024-09-23,0,43
RMG Research,2.3,Wisconsin,Kamala Harris,50,788,-0.4,lv,2024-09-23,0,43
Ipsos,2.8,National,Kamala Harris,46.61,871,-0.9,rv,2024-09-22,1,44
Ipsos,2.8,National,Kamala Harris,50,785,-0.9,lv,2024-09-22,1,44
Ipsos,2.8,National,Kamala Harris,42,1029,-0.9,a,2024-09-22,1,44
CNN/SSRS,2.8,National,Kamala Harris,48,2074,-0.6,lv,2024-09-22,1,44
CNN/SSRS,2.8,National,Kamala Harris,47,2074,-0.6,rv,2024-09-22,1,44
Quinnipiac,2.8,National,Kamala Harris,47,1728,-0.5,lv,2024-09-22,1,44
Quinnipiac,2.8,National,Kamala Harris,48,1728,-0.5,lv,2024-09-22,1,44
Susquehanna,2.3,Pennsylvania,Kamala Harris,46,700,-0.3,lv,2024-09-22,0,44
Siena/NYT,3,Arizona,Kamala Harris,45,713,-1.5,rv,2024-09-21,0,45
